,sentence
693,If only we'd stop trying to be happy we could have a pretty good time.
694,"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter."
695,"We are haunted by an ideal life, and it is because we have within us the beginning and the possibility for it."
696,"Death is only a horizon, and a horizon is nothing save the limit of our sight."
697,The scientific theory I like the best is that the rings of Saturn are composed entirely of lost luggage.
698,The only way on Earth to multiply happiness is to divide it.
699,A known mistake is better than an unknown truth.
700,"Life is not an exact science, it is an art."
701,Everything is theoretically impossible until it's done.
702,"Until you make peace with who you are, you'll never be content with what you have."
703,"You may be disappointed if you fail, but you are doomed if you don't try."
704,"Boredom is the feeling that everything is a waste of time; serenity, that nothing is."
705,"Never lose sight of the importance of a beautiful sunrise, or watching your kids sleep, or the smell of rain. It's often the small things that really matter in life."
706,There is no distance on this earth as far away as yesterday.
707,Only those who risk going too far will know how far one can go.
708,Every man takes the limits of his own field of vision for the limits of the world.
709,We can travel through time. And we do at the remarkable rate of one second per second.
710,The real problem is not whether machines think but whether men do.
711,My interest is in the future because I'm going to spend the rest of my life there.
712,"The world is a book, and those who do not travel read only a page."
713,The problem with many things is the pre-conceived ideas we have about them!
714,The best way to predict the future is to invent it.
715,Advertising may be described as the science of arresting the human intelligence long enough to get money from it.
716,"If we knew what we were doing, it wouldn't be called research, would it?"
717,"To the man who only has a hammer in the toolkit, every problem looks like a nail."
718,Nothing is impossible for the man who doesn't have to do it himself.
719,That's the thing about people who think they hate computers. What they really hate is lousy programmers.
720,"It is not the strongest of the species that survives, not the most intelligent, but the one most responsive to change."
721,"I think it is good that books still exist, but they do make me sleepy."
722,I can't understand why people are frightened of new ideas. I'm frightened of the old ones.
723,Hope is not a strategy.
724,"Japan is full of beautiful cities. Kyoto and Nara, for instance."
725,They are waiting for you in front of the door.
726,Do you have a pen on you?
727,Whose is this?
728,"Since Mario lied to me, I don't speak to him anymore."
729,It's a good deal.
730,Pick up your things and go away.
731,Put your hands down!
732,He laughs best who laughs last.
733,"The sooner, the better."
734,He doesn't look his age.
735,Do you like rap?
736,I love trips.
737,I really wasn't expecting that from you.
738,I've been waiting for hours.
739,He died at a very old age.
740,He's an old timer.
741,That's the snag.
742,"We are what we pretend to be, so we must be careful what we pretend to be."
743,I don't know him.
744,I liked this film.
745,She's rolling in money.
746,It's not important.
747,I don't care.
748,I was about to go out when the phone rang.
749,Look carefully. I'm going to show you how it's done.
750,People should understand that the world is changing.
751,"Speech is silver, but silence is golden."
752,Fifty-two per cent of British women prefer chocolate to sex.
753,I don't like these remarks.
754,I'm not convinced at all.
755,Why do you want to leave today?
756,I'm going to take my car.
757,It's too good to be true.
758,You cannot achieve the impossible without attempting the absurd.
759,"You should only count on yourself--but even then, not too much."
760,To be quiet in class is to respect other people's sleep.
761,Logic is a systematic method of coming to the wrong conclusion with confidence.
762,Cole's Axiom: The sum of the intelligence on the planet is a constant; the population is growing.
763,People will accept your idea much more readily if you tell them Benjamin Franklin said it first.
764,"If you see a man approaching you with the obvious intention of doing you good, you should run for your life."
765,We learn from experience that men never learn anything from experience.
766,Better late than never.
767,"Like father, like son."
768,The early bird catches the worm.
769,In life there are ups and downs.
770,All cats are grey in the dark.
771,Teach me how you do it.
772,No news is good news.
773,"Wealth comes to those who make things happen, not to those who let things happen."
774,"If you think education is expensive, wait till you see what ignorance costs you."
775,I was expecting it!
776,"The world is divided into people who get things done, and people who get the credit."
777,I don't expect anything from you.
778,Wait in the waiting room.
779,More people get into trouble for things they say rather than for what they do.
780,"People who will lie for you, will lie to you."
781,There's no doubt.
782,There isn't any solution.
783,"In business today, too many executives spend money they haven't earned, to buy things they don't need, to impress people they don't even like."
784,I didn't know he drank so much.
785,Any activity you need to accomplish will take more time than you have.
786,It's well done.
787,Do you want fruit juice?
788,He's a good person.
789,Do as you want.
790,Enjoy your meal!
791,There's no love without jealousy.
792,No love is foul nor prison fair.
793,There was not a bloody soul.
794,We are cut from the same cloth.
795,The walls have ears.
796,I've got a frog in my throat.
797,Make yourself at home.
798,Nothing great has been achieved by playing it safe.
799,"In general, little is known about nonlinear second order differential equations."
800,Mali is one of the poorest countries in Subsaharan Africa.
801,At this stage there is still not a clear energy policy for bringing decentralised power to rural areas.
802,Why aren't you coming with us?
803,I can't say the opposite.
804,Why are you telling me about hippos all of the sudden? I don't see the connection between that and your twelve red goldfishes.
805,"Don't listen to him, he's talking nonsense."
806,You can't get lost in big cities; there are maps everywhere!
807,"We are sorry, the person you are trying to contact is not available."
808,I don't want it anymore.
809,He came several times.
810,We wonder why.
811,We must think about friends.
812,I'm going to take a bath.
813,"It was raining when we left, but by the time we arrived, it was sunny."
814,We left by train.
815,"If you eat too much, you'll become fat."
816,I don't know if he would have done it for me.
817,Would you like to come?
818,I knew he would accept.
819,She would willingly come but she was on vacation.
820,I thought it was true.
821,This is the town I told you about.
822,This is the boy I think about.
823,He has been warned on several occasions.
824,I have to give back the book before Saturday.
825,We tried so hard to make things better for our kids that we made them worse.
826,"Hi, I just wanted to let you know that the problem is fixed."
827,How can you have a laptop and not a cell phone?
828,I went to drink a beer with friends.
829,He jumped out the window.
830,Yesterday we had fun.
831,They quarreled.
832,I ate caviar.
833,He changed a lot since the last time.
834,This knife was very useful to me.
835,You took the wrong key.
836,I managed to get in.
837,How much is it?
838,I'll bring you the bill immediately.
839,Here is your change.
840,I'll pay by cheque.
841,Did you leave a tip?
842,Don't forget the ticket.
843,"I'm sorry, I don't have change."
844,The situation is worse than we believed.
845,We have to expect the worst.
846,They don't even know why.
847,I want you to tell me the truth.
848,You arrived at the moment I left.
849,Muiriel likes to annoy me lately.
850,"It's not serious, I don't bear him a grudge."
851,Who is coming with me?
852,I want to know who is coming with us.
853,Florence is the most beautiful city in Italy.
854,"On your feet, children!"
855,I talked to friends.
856,The film started at 2 o'clock.
857,This girl changed her look.
858,The film lasted 2 hours.
859,I'm glad to see you back.
860,You changed a lot.
861,Those who know him like him.
862,Tell me what happened.
863,They are sensible girls.
864,How beautiful you are!
865,It's easier to have fun than to work.
866,You must work more.
867,It's more difficult than you think.
868,He told me he would go to Venice.
869,Who are those guys?
870,I don't agree with him.
871,"The spirit is willing, but the flesh is weak."
872,There's quite a lot of things to do; do you want some help?
873,It seems to me that the train is late.
874,He learned the news while reading the newspaper.
875,I don't know if I'll have time to do it.
876,Ask Trang if he's going out this evening.
877,She's got a fair complexion while her brother is very dark.
878,"In a town you may pass unnoticed, whereas in a village it's impossible."
879,Who said that? It's totally wrong!
880,"When I was a child, I would spend hours reading alone in my room."
881,Wolves won't usually attack people.
882,"""Can somebody help me?"" ""I will."""
883,Please will you close the door when you go out.
884,You've given me your cold.
885,"Ah! If I were rich, I'd buy myself a house in Spain."
886,I wish she would stop playing that stupid music.
887,I hope he'll be able to come! I'd like to see him.
888,They will never accept; it's too far.
889,Her garden is a work of art.
890,I'd rather be a bird than a fish.
891,"Water freezes at zero degrees Celsius, doesn't it?"
892,"If you take care of the small things, the big things will take care of themselves."
893,"Every man's work, whether it be literature or music or a picture or architecture or anything else, is always a portrait of himself."
894,"When we seek to discover the best in others, we somehow bring out the best in ourselves."
895,Forget it. It's not worth it.
896,We're going to eat a lot tonight so I hope you're not on a diet.
